id,unit_designator,station_id,unit_type_id,reserved
214,R419,42,5,FALSE
215,M419,42,6,FALSE
216,BR419,42,15,FALSE
217,E420,43,1,FALSE
218,M420,43,6,FALSE
219,TK420,43,8,FALSE
220,BR420,43,15,FALSE
221,BTI420,43,18,FALSE
222,E421,44,1,FALSE
223,E421B,44,1,TRUE
224,R421,44,5,FALSE
225,M421,44,6,FALSE
226,M421B,44,6,TRUE
227,BC421,44,7,FALSE
228,TR421,44,11,FALSE
229,UT421,44,14,FALSE
230,BTI421,44,18,FALSE
231,E422,45,1,FALSE
232,E422B,45,1,TRUE
233,T422,45,2,FALSE
234,M422,45,6,FALSE
235,M422B,45,6,TRUE
236,M422C,45,6,TRUE
237,BC422,45,7,FALSE
238,UT422,45,14,FALSE
239,CAN422,45,21,FALSE
240,E423,46,1,FALSE
241,M423,46,6,FALSE
242,MAU423,46,19,FALSE
243,LA423,46,20,FALSE
244,E424,47,1,FALSE
245,TL424,47,3,FALSE
246,M424,47,6,FALSE
247,EMS406,47,12,FALSE
248,E425,48,1,FALSE
249,TT425,48,4,FALSE
250,M425,48,6,FALSE
251,BC425,48,7,FALSE
252,E426,49,1,FALSE
253,R426,49,5,FALSE
254,M426,49,6,FALSE
255,EMS405,49,12,FALSE
256,FE426,49,22,FALSE
257,E427,50,1,FALSE
258,M427,50,6,FALSE
259,MAB427,50,23,FALSE
260,E428,51,1,FALSE
261,M428,51,6,FALSE
262,E429,52,1,FALSE
263,TT429,52,4,FALSE
264,E430,53,1,FALSE
265,TT430,53,4,FALSE
266,M430,53,6,FALSE
267,MCP430,53,13,FALSE
268,E431,54,1,FALSE
269,M431,54,6,FALSE
270,EMS401,54,12,FALSE
271,E432,55,1,FALSE
272,M432,55,6,FALSE
273,BC407,55,7,FALSE
274,R433,56,5,FALSE
275,M433,56,6,FALSE
276,M433B,56,6,TRUE
277,UT433,56,14,FALSE
278,E434,57,1,FALSE
279,M434,57,6,FALSE
280,E435,58,1,FALSE
281,M435,58,6,FALSE
282,MCSU435,58,17,FALSE
283,E436,59,1,FALSE
284,TL436,59,3,FALSE
285,M436,59,6,FALSE
286,LA436,59,20,FALSE
287,E437,60,1,FALSE
288,M437,60,6,FALSE
289,M437B,60,6,TRUE
290,BC405,60,7,FALSE
291,LA437,60,20,FALSE
292,FE437,60,22,FALSE
293,E438,61,1,FALSE
294,T438,61,2,FALSE
295,M438,61,6,FALSE
296,M438B,61,6,TRUE
297,MCP438,61,13,FALSE
298,E439,62,1,FALSE
299,R439,62,5,FALSE
300,M439,62,6,FALSE
301,TK439,62,8,FALSE
302,TR439,62,11,FALSE
303,BR439,62,15,FALSE
304,BTI439,62,18,FALSE
305,E440,63,1,FALSE
306,TL440,63,3,FALSE
307,M440,63,6,FALSE
308,HAZMAT440,63,9,FALSE
309,EMS403,63,12,FALSE
310,E441,64,1,FALSE
311,TL441,64,3,FALSE
312,M441,64,6,FALSE
313,TK441,64,8,FALSE
314,EMS407,64,12,FALSE
315,BR441,64,15,FALSE
316,BTI441,64,18,FALSE
317,E442,65,1,FALSE
318,M442,65,6,FALSE
319,TK442,65,8,FALSE
320,EMS442,65,12,FALSE
321,MCSU442,65,17,FALSE
322,E463,66,1,FALSE
323,T463,66,2,FALSE
324,HAZMAT463,66,9,FALSE
325,E464,67,1,FALSE
326,TL464,67,3,FALSE
327,UT464,67,14,FALSE
328,MAL464,67,20,FALSE
329,E465,68,1,FALSE
330,BC465,68,7,FALSE
331,E466,69,1,FALSE
332,TK466,69,8,FALSE
333,FM466,69,10,FALSE
334,FM466B,69,10,TRUE
335,UT466,69,14,FALSE
